algorithm,n_rounds,opponent_type,reward_sum,agent_final_reward
SMAlegAATr,60.csv,bbl,120.0,-180.0
SMAlegAATr,60.csv,bbl,120.0,-180.0
SMAlegAATr,60.csv,bbl,120.0,-180.0
SMAlegAATr,60.csv,bbl,120.0,-180.0
AleqgAATr,10.csv,spp,0.0,-20.0
AleqgAATr,10.csv,spp,0.0,-20.0
AleqgAATr,10.csv,spp,0.0,-20.0
AleqgAATr,10.csv,spp,0.0,-20.0
AleqgAATr,10.csv,spp,0.0,-20.0
AleqgAATr,30.csv,roundnum2,12.0,-42.0
AleqgAATr,30.csv,roundnum2,8.0,-48.0
AleqgAATr,30.csv,roundnum2,16.0,-36.0
AleqgAATr,30.csv,roundnum2,4.0,-54.0
AleqgAATr,30.csv,roundnum2,12.0,-42.0
AleqgAATr,20.csv,greedyneg,0.0,-40.0
AleqgAATr,20.csv,greedyneg,0.0,-40.0
AleqgAATr,20.csv,greedyneg,0.0,-40.0
AleqgAATr,20.csv,greedyneg,0.0,-40.0
AleqgAATr,20.csv,greedyneg,0.0,-40.0
SOAleqgAATr,50.csv,eee,-4.0,22.0
SOAleqgAATr,50.csv,eee,12.0,30.0
SOAleqgAATr,50.csv,eee,24.0,-24.0
SOAleqgAATr,50.csv,eee,28.0,30.0
SOAleqgAATr,50.csv,eee,-20.0,-18.0
AlegAATr,30.csv,bbl,60.0,-82.0
AlegAATr,30.csv,bbl,52.0,-86.0
AlegAATr,30.csv,bbl,60.0,-82.0
AlegAATr,30.csv,bbl,60.0,-82.0
AlegAATr,30.csv,bbl,52.0,-86.0
DQN,60.csv,spp,120.0,300.0
DQN,60.csv,spp,120.0,300.0
DQN,60.csv,spp,0.0,120.0
DQN,60.csv,spp,0.0,120.0
DQN,60.csv,spp,-120.0,-60.0
RawO,40.csv,spp,-80.0,-40.0
RawO,40.csv,spp,-80.0,-40.0
RawO,40.csv,spp,44.0,66.0
RawO,40.csv,spp,-80.0,-40.0
RawO,40.csv,spp,88.0,196.0
RawO,60.csv,roundnum,52.0,46.0
RawO,60.csv,roundnum,52.0,46.0
RawO,60.csv,roundnum,52.0,46.0
RawO,60.csv,roundnum,52.0,46.0
RawO,60.csv,roundnum,52.0,46.0
RawO,60.csv,roundnum2,60.0,-54.0
RawO,60.csv,roundnum2,12.0,34.0
RawO,60.csv,roundnum2,80.0,16.0
RawO,60.csv,roundnum2,52.0,-10.0
RawO,60.csv,roundnum2,88.0,12.0
RAlegAATr,20.csv,greedyneg,36.0,94.0
RAlegAATr,20.csv,greedyneg,36.0,94.0
RAlegAATr,20.csv,greedyneg,36.0,94.0
RAlegAATr,20.csv,greedyneg,36.0,94.0
RAlegAATr,20.csv,greedyneg,36.0,94.0
RDQN,50.csv,coop,100.0,250.0
RDQN,50.csv,coop,100.0,250.0
RDQN,50.csv,coop,100.0,250.0
RDQN,50.csv,coop,100.0,250.0
RDQN,50.csv,coop,100.0,250.0
RAlegAATr,30.csv,spp,0.0,60.0
RAlegAATr,30.csv,spp,60.0,150.0
RAlegAATr,30.csv,spp,0.0,60.0
RAlegAATr,30.csv,spp,-60.0,-30.0
RAlegAATr,30.csv,spp,-60.0,-30.0
AlegAATr,20.csv,cfr,32.0,-56.0
AlegAATr,20.csv,cfr,32.0,-56.0
AlegAATr,20.csv,cfr,32.0,-56.0
AlegAATr,20.csv,cfr,32.0,-56.0
AlegAATr,20.csv,cfr,32.0,-56.0
RDQN,20.csv,coopgreedy,20.0,70.0
RDQN,20.csv,coopgreedy,24.0,76.0
RDQN,20.csv,coopgreedy,8.0,52.0
RDQN,20.csv,coopgreedy,24.0,76.0
RDQN,20.csv,coopgreedy,20.0,70.0
RAlegAATr,50.csv,random,0.0,100.0
RAlegAATr,50.csv,random,-16.0,76.0
RAlegAATr,50.csv,random,16.0,124.0
RAlegAATr,50.csv,random,20.0,130.0
RAlegAATr,50.csv,random,-16.0,76.0
QAlegAATr,60.csv,roundnum,112.0,16.0
QAlegAATr,60.csv,roundnum,112.0,16.0
QAlegAATr,60.csv,roundnum,112.0,16.0
QAlegAATr,60.csv,roundnum,112.0,16.0
QAlegAATr,60.csv,roundnum,112.0,16.0
DQN,40.csv,roundnum,16.0,104.0
DQN,40.csv,roundnum,16.0,104.0
DQN,40.csv,roundnum,16.0,104.0
DQN,40.csv,roundnum,16.0,104.0
DQN,40.csv,roundnum,16.0,104.0
RAlegAATr,30.csv,roundnum2,-44.0,-6.0
RAlegAATr,30.csv,roundnum2,-60.0,-30.0
RAlegAATr,30.csv,roundnum2,-52.0,-18.0
RAlegAATr,30.csv,roundnum2,-48.0,-12.0
RAlegAATr,30.csv,roundnum2,-52.0,-18.0
RawO,30.csv,coopgreedy,40.0,64.0
RawO,30.csv,coopgreedy,56.0,64.0
RawO,30.csv,coopgreedy,48.0,108.0
RawO,30.csv,coopgreedy,44.0,94.0
RawO,30.csv,coopgreedy,60.0,118.0
DQN,30.csv,bullypunish,-60.0,-30.0
DQN,30.csv,bullypunish,-60.0,-30.0
DQN,30.csv,bullypunish,-60.0,-30.0
DQN,30.csv,bullypunish,-60.0,-30.0
DQN,30.csv,bullypunish,-60.0,-30.0
RDQN,10.csv,roundnum,20.0,50.0
RDQN,10.csv,roundnum,20.0,50.0
RDQN,10.csv,roundnum,20.0,50.0
RDQN,10.csv,roundnum,20.0,50.0
RDQN,10.csv,roundnum,20.0,50.0
AlegAATr,20.csv,greedyneg,32.0,-56.0
AlegAATr,20.csv,greedyneg,32.0,-56.0
AlegAATr,20.csv,greedyneg,32.0,-56.0
AlegAATr,20.csv,greedyneg,32.0,-56.0
AlegAATr,20.csv,greedyneg,32.0,-56.0
SOAleqgAATr,50.csv,selfplay,292.0,146.0
SOAleqgAATr,50.csv,selfplay,292.0,146.0
SOAleqgAATr,50.csv,selfplay,292.0,146.0
SOAleqgAATr,50.csv,selfplay,292.0,146.0
SOAleqgAATr,50.csv,selfplay,292.0,146.0
SMAlegAATr,30.csv,bullypunish,60.0,-90.0
SMAlegAATr,30.csv,bullypunish,60.0,-90.0
SMAlegAATr,30.csv,bullypunish,60.0,-90.0
SMAlegAATr,30.csv,bullypunish,60.0,-90.0
SMAlegAATr,30.csv,bullypunish,60.0,-90.0
AlegAATr,10.csv,bullied,52.0,34.0
AlegAATr,10.csv,bullied,52.0,34.0
AlegAATr,10.csv,bullied,52.0,34.0
AlegAATr,10.csv,bullied,52.0,34.0
AlegAATr,10.csv,bullied,52.0,34.0
SMAlegAATr,30.csv,eee,68.0,106.0
SMAlegAATr,30.csv,eee,64.0,60.0
SMAlegAATr,30.csv,eee,72.0,-56.0
SMAlegAATr,30.csv,eee,68.0,106.0
SMAlegAATr,30.csv,eee,-16.0,-12.0
RawO,10.csv,bbl,20.0,-22.0
RawO,10.csv,bbl,20.0,-22.0
RawO,10.csv,bbl,20.0,-22.0
RawO,10.csv,bbl,20.0,-22.0
RawO,10.csv,bbl,20.0,-22.0
AlegAATr,60.csv,spp,220.0,250.0
AlegAATr,60.csv,spp,220.0,250.0
AlegAATr,60.csv,spp,228.0,14.0
AlegAATr,60.csv,spp,228.0,14.0
AlegAATr,60.csv,spp,112.0,-176.0
DQN,30.csv,bbl,-56.0,-24.0
DQN,30.csv,bbl,-60.0,-30.0
DQN,30.csv,bbl,-56.0,-24.0
DQN,30.csv,bbl,-56.0,-24.0
DQN,30.csv,bbl,-60.0,-30.0
AlegAATr,30.csv,roundnum2,56.0,-72.0
AlegAATr,30.csv,roundnum2,52.0,-78.0
AlegAATr,30.csv,roundnum2,52.0,-86.0
AlegAATr,30.csv,roundnum2,52.0,-78.0
AlegAATr,30.csv,roundnum2,56.0,-64.0
DQN,20.csv,cfr,-40.0,-20.0
DQN,20.csv,cfr,-40.0,-20.0
DQN,20.csv,cfr,-40.0,-20.0
DQN,20.csv,cfr,-40.0,-20.0
